Date,Stock_Apple,Stock_Google,Stock_Microsoft
1/2/2024,185.6399994,138.1699982,370.8699951
1/3/2024,184.25,138.9199982,370.6000061
1/4/2024,181.9100037,136.3899994,367.9400024
1/5/2024,181.1799927,135.7299957,367.75
1/8/2024,185.5599976,138.8399963,374.6900024
1/9/2024,185.1399994,140.9499969,375.7900085
1/10/2024,186.1900024,142.2799988,382.769989
1/11/2024,185.5899963,142.0800018,384.6300049
1/12/2024,185.9199982,142.6499939,388.4700012
1/16/2024,183.6300049,142.4900055,390.269989
1/17/2024,182.6799927,141.4700012,389.4700012
1/18/2024,188.6300049,143.4799957,393.8699951
1/19/2024,191.5599976,146.3800049,398.6700134
1/22/2024,193.8899994,145.9900055,396.5100098
1/23/2024,195.1799927,147.0399933,398.8999939
1/24/2024,194.5,148.6999969,402.5599976
1/25/2024,194.1699982,151.8699951,404.8699951
1/26/2024,192.4199982,152.1900024,403.9299927
1/29/2024,191.7299957,153.5099945,409.7200012
1/30/2024,188.0399933,151.4600067,408.5899963
1/31/2024,184.3999939,140.1000061,397.5799866
2/1/2024,186.8600006,141.1600037,403.7799988
2/2/2024,185.8500061,142.3800049,411.2200012
2/5/2024,187.6799927,143.6799927,405.6499939
2/6/2024,189.3000031,144.1000061,405.4899902
2/7/2024,189.4100037,145.5399933,414.0499878
2/8/2024,188.3200073,145.9100037,414.1099854
2/9/2024,188.8500061,149,420.5499878
2/12/2024,187.1499939,147.5299988,415.2600098
2/13/2024,185.0399933,145.1399994,406.3200073
2/14/2024,184.1499939,145.9400024,409.4899902
2/15/2024,183.8600006,142.7700043,406.5599976
2/16/2024,182.3099976,140.5200043,404.0599976
2/20/2024,181.5599976,141.1199951,402.7900085
2/21/2024,182.3200073,142.5500031,402.1799927
2/22/2024,184.3699951,144.0899963,411.6499939
2/23/2024,182.5200043,143.9600067,410.3399963
2/26/2024,181.1600037,137.5700073,407.5400085
2/27/2024,182.6300049,138.8800049,407.480011
2/28/2024,181.4199982,136.3800049,407.7200012
2/29/2024,180.75,138.4600067,413.6400146
3/1/2024,179.6600037,137.1399994,415.5
3/4/2024,175.1000061,133.3500061,414.9200134
3/5/2024,170.1199951,132.6699982,402.6499939
3/6/2024,169.1199951,131.3999939,402.0899963
3/7/2024,169,134.3800049,409.1400146
3/8/2024,170.7299957,135.4100037,406.2200012
3/11/2024,172.75,137.6699982,404.519989
3/12/2024,173.2299957,138.5,415.2799988
3/13/2024,171.1300049,139.7899933,415.1000061
3/14/2024,173,143.1000061,425.2200012
3/15/2024,172.6199951,141.1799927,416.4200134
3/18/2024,173.7200012,147.6799927,417.3200073
3/19/2024,176.0800018,147.0299988,421.4100037
3/20/2024,178.6699982,148.7400055,425.230011
3/21/2024,171.3699951,147.6000061,429.3699951
3/22/2024,172.2799988,150.7700043,428.7399902
3/25/2024,170.8500061,150.0700073,422.8599854
3/26/2024,169.7100067,150.6699982,421.6499939
3/27/2024,173.3099976,150.8699951,421.4299927
3/28/2024,171.4799957,150.9299927,420.7200012
4/1/2024,170.0299988,155.4900055,424.5700073
4/2/2024,168.8399963,154.5599976,421.4400024
4/3/2024,169.6499939,154.9199982,420.4500122
4/4/2024,168.8200073,150.5299988,417.8800049
4/5/2024,169.5800018,152.5,425.519989
4/8/2024,168.4499969,154.8500061,424.5899963
4/9/2024,169.6699982,156.6000061,426.2799988
4/10/2024,167.7799988,156.1399994,423.2600098
4/11/2024,175.0399933,159.4100037,427.9299927
4/12/2024,176.5500031,157.7299957,421.8999939
4/15/2024,172.6900024,154.8600006,413.6400146
4/16/2024,169.3800049,154.3999939,414.5799866
4/17/2024,168,155.4700012,411.8399963
4/18/2024,167.0399933,156.0099945,404.269989
4/19/2024,165,154.0899963,399.1199951
4/22/2024,165.8399963,156.2799988,400.9599915
4/23/2024,166.8999939,158.2599945,407.5700073
4/24/2024,169.0200043,159.1300049,409.0599976
4/25/2024,169.8899994,156,399.0400085
4/26/2024,169.3000031,171.9499969,406.3200073
4/29/2024,173.5,166.1499939,402.25
4/30/2024,170.3300018,162.7799988,389.3299866
5/1/2024,169.3000031,163.8600006,394.9400024
5/2/2024,173.0299988,166.6199951,397.8399963
5/3/2024,183.3800049,167.2400055,406.6600037
5/6/2024,181.7100067,168.1000061,413.5400085
5/7/2024,182.3999939,171.25,409.3399963
5/8/2024,182.7400055,169.3800049,410.5400085
5/9/2024,184.5700073,169.9600067,412.3200073
5/10/2024,183.0500031,168.6499939,414.7399902
5/13/2024,186.2799988,169.1399994,413.7200012
5/14/2024,187.4299927,170.3399963,416.5599976
5/15/2024,189.7200012,172.5099945,423.0799866
5/16/2024,189.8399963,174.1799927,420.9899902
