,Stock_AAPL,Stock_AMZN,Stock_GOOGL,Stock_MSFT,Bond_DGS1MO,Bond_DGS3MO,Bond_DGS6MO,Bond_DGS1,Bond_DGS2,Bond_DGS5,Bond_DGS10,Bond_DGS30,Forex_EURUSD,Forex_USDJPY,Forex_GBPUSD
1/1/2020,75.08750153,94.90049744,68.43399811,160.6199951,1.53,1.54,1.57,1.56,1.58,1.67,1.88,2.33,1.12208,108.713,1.32503
1/2/2020,75.08750153,94.90049744,68.43399811,160.6199951,1.53,1.54,1.57,1.56,1.58,1.67,1.88,2.33,1.11714,108.543,1.31527
1/3/2020,74.35749817,93.74849701,68.0759964,158.6199951,1.52,1.52,1.55,1.55,1.53,1.59,1.8,2.26,1.11714,108.543,1.31527
1/5/2020,74.35749817,93.74849701,68.0759964,158.6199951,1.52,1.52,1.55,1.55,1.53,1.59,1.8,2.26,1.1162,107.964,1.30801
1/6/2020,74.94999695,95.14399719,69.89050293,159.0299988,1.54,1.56,1.56,1.54,1.54,1.61,1.81,2.28,1.1198,108.406,1.317
1/7/2020,74.59750366,95.34300232,69.75550079,157.5800018,1.52,1.54,1.56,1.53,1.54,1.62,1.83,2.31,1.11547,108.016,1.31137
1/8/2020,75.79750061,94.59850311,70.2519989,160.0899963,1.5,1.54,1.56,1.55,1.58,1.67,1.87,2.35,1.11132,109.031,1.31051
1/9/2020,77.40750122,95.05249786,70.98950195,162.0899963,1.53,1.54,1.56,1.54,1.58,1.65,1.85,2.38,1.11111,109.507,1.30702
1/10/2020,77.58249664,94.15799713,71.44799805,161.3399963,1.52,1.54,1.55,1.53,1.56,1.63,1.83,2.28,1.11111,109.507,1.30702
1/12/2020,77.58249664,94.15799713,71.44799805,161.3399963,1.52,1.54,1.55,1.53,1.56,1.63,1.83,2.28,1.11167,109.566,1.30456
1/13/2020,79.23999786,94.56500244,72.00150299,163.2799988,1.54,1.57,1.57,1.53,1.58,1.65,1.85,2.3,1.11357,109.992,1.29882
1/14/2020,78.16999817,93.47200012,71.52950287,162.1300049,1.53,1.57,1.57,1.53,1.58,1.63,1.82,2.27,1.11309,109.854,1.30225
1/15/2020,77.83499908,93.10099792,71.95999908,163.1799927,1.53,1.57,1.58,1.54,1.56,1.6,1.79,2.23,1.1154,109.883,1.30412
1/16/2020,78.80999756,93.89700317,72.50800323,166.1699982,1.54,1.55,1.56,1.54,1.58,1.63,1.81,2.26,1.11396,110.175,1.30787
1/17/2020,79.68250275,93.23600006,73.97599792,167.1000061,1.54,1.56,1.57,1.56,1.58,1.63,1.84,2.29,1.11396,110.175,1.30787
